"land_code","n","percentage"
"Agricultural (A)",3747,1.2276994151472
"Apartments (M)",2931,0.960338133385757
"Commercial (C)",8008,2.62381022591373
"Commercial Condominium (CC)",581,0.190363853803181
"Commercial Residential (CR)",604,0.197899772284202
"Country Club (CA)",42,0.0137612424436035
"Exempt (E)",15669,5.13392637735293
"Exempt Commercial (EC)",2232,0.731311741288642
"Industrial (I)",3182,1.04257793941777
"Residential (R)",245798,80.5353778607821
"Residential Commercial (RC)",2,0.000655297259219213
"Residential Condominium (U)",22408,7.34195049229207
"Town House (TH)",1,0.000327648629609607
