"zip","count"
21222,37753
21234,37569
21117,32256
21228,32053
21220,31972
21221,28314
21093,27465
21136,24071
21236,23163
21207,21794
21227,21351
21133,18920
21208,18840
21237,18558
21244,17139
21286,14281
21030,12475
21128,11375
21131,8870
21204,8757
21212,8498
21219,8205
21120,7870
21209,7762
21206,7576
21224,7023
NA,6723
21087,6146
21162,5856
21152,5091
21229,4738
21057,4719
21111,4481
21013,3617
21053,3377
21239,2818
21161,2749
21163,2687
21155,2589
21074,1539
21102,1068
21082,998
21215,987
21043,932
21153,918
21071,619
21210,515
21156,471
21051,411
21052,328
0,217
21104,210
21023,66
21020,51
21022,47
21203,44
21027,25
21105,21
21218,21
21042,18
21094,18
21225,16
21230,16
21045,15
21014,14
21130,14
21157,14
21231,14
21021,12
21121,12
21113,11
21223,11
21216,10
21282,10
21055,9
21084,9
21092,9
21158,9
21202,9
21085,8
21217,8
20193,7
21031,7
21047,7
21144,7
21201,7
12442,6
20785,6
21040,6
21083,6
21090,6
21116,6
21211,6
21214,6
21226,6
21284,6
23234,6
98125,6
21046,5
21075,5
21138,5
21174,5
21238,5
20151,4
21015,4
21048,4
21139,4
21200,4
21233,4
21235,4
21285,4
21291,4
21784,4
21935,4
6095,3
12144,3
19966,3
21009,3
21032,3
21039,3
21061,3
21072,3
21078,3
21079,3
21088,3
21097,3
21109,3
21125,3
21135,3
21151,3
21154,3
21159,3
21165,3
21171,3
21172,3
21175,3
21176,3
21179,3
21185,3
21287,3
21409,3
21529,3
21559,3
21579,3
21738,3
21778,3
31043,3
44023,3
76109,3
11238,2
16428,2
16648,2
20103,2
20130,2
20165,2
20190,2
20208,2
20234,2
20701,2
20708,2
20748,2
20759,2
20901,2
21001,2
21028,2
21029,2
21037,2
21050,2
21060,2
21076,2
21096,2
21098,2
21108,2
21119,2
21122,2
21126,2
21127,2
21137,2
21146,2
21205,2
21213,2
21241,2
21243,2
21283,2
21334,2
21403,2
21660,2
21794,2
21811,2
22121,2
22391,2
23507,2
28209,2
29687,2
29715,2
73107,2
75080,2
76502,2
78550,2
80924,2
92604,2
93301,2
94061,2
98584,2
