"city","land_code","count","zip"
"WINDSOR MILL","Industrial (I)",1,"21244"
"WHITE MARSH","Agricultural (A)",2,"21162"
"WHITE MARSH","Commercial (C)",2,"21162"
"WHITE MARSH","Exempt (E)",1,"21162"
"WHITE MARSH","Residential (R)",149,"21162"
"SPARROWS POINT","Commercial (C)",32,"21219, 21224, 0"
"SPARROWS POINT","Commercial Residential (CR)",3,"21219"
"SPARROWS POINT","Exempt (E)",6,"21219"
"SPARROWS POINT","Residential (R)",771,"21219, 21052, 21014, 21291"
"ROSEDALE","Residential (R)",76,"21237, 21224"
"MIDDLE RIVER","Agricultural (A)",5,"21220"
"MIDDLE RIVER","Commercial (C)",47,"21220, 21222"
"MIDDLE RIVER","Commercial Residential (CR)",1,"21220"
"MIDDLE RIVER","Exempt (E)",22,"21220"
"MIDDLE RIVER","Industrial (I)",1,"21220"
"MIDDLE RIVER","Residential (R)",1711,"21220, 21057, 21221, 0, 21093, 21009, 21014, 21027"
"MIDDLE RIVER","Residential Condominium (U)",4,"21220"
"LUTHERVILLE TIMONIUM","Commercial (C)",1,"21093"
"ESSEX","Agricultural (A)",1,"21221"
"ESSEX","Apartments (M)",1,"21221"
"ESSEX","Commercial (C)",50,"21221, 21230, 0"
"ESSEX","Commercial Residential (CR)",3,"21221"
"ESSEX","Exempt (E)",11,"21221"
"ESSEX","Exempt Commercial (EC)",1,"21221"
"ESSEX","Residential (R)",1340,"21221, 21778, 21224, 21121"
"ELLICOTT CITY","Residential (R)",11,"21043"
"DUNDALK","Commercial (C)",19,"21222"
"DUNDALK","Exempt (E)",9,"21222"
"DUNDALK","Industrial (I)",8,"21222, 21221"
"DUNDALK","Residential (R)",759,"21222, 21220, 21221"
"CATONSVILLE","Commercial (C)",1,"21228"
"BALTIMORE-ESSEX","Residential (R)",1,"21221"
"BALTIMORE","Commercial (C)",3,"21224, 21221"
"BALTIMORE","Exempt Commercial (EC)",1,"21224"
"BALTIMORE","Industrial (I)",1,"21136"
"BALTIMORE","Residential (R)",2,"21209, 21220"
NA,"Commercial (C)",3,"0"
NA,"Residential (R)",6,"0, 21212, NA"
