"County","CoxPercent","HoganPercent"
"Allegany",66.0948922547661,81.6999575010625
"Anne Arundel",43.7709139236301,68.5854646038934
"Baltimore City",8.85644731008843,31.5987243558159
"Baltimore County",35.7383404212008,61.0967200779583
"Calvert",54.8039215686275,75.3741981468282
"Caroline",64.7075798383994,82.477183833116
"Carroll",58.2174283281294,83.2034216732622
"Cecil",65.2169228559115,77.4578551189215
"Charles",30.2452316076294,49.3412057178372
"Dorchester",56.6275013769047,74.4319560119673
"Frederick",44.7486693666488,67.6745726037363
"Garrett",74.5271007639141,86.046511627907
"Harford",53.7394057930521,77.1023431212075
"Howard",27.3189326556544,56.1949464022932
"Kent",45.1268357810414,73.2689210950081
"Montgomery",19.9531601596226,44.0758224215774
"Prince George's",8.83696182326076,28.1909807671207
"Queen Anne's",57.6974925856026,84.9027034086457
"Saint Mary's",NA,76.0088131900777
"Somerset",61.8232731798382,67.5538821085432
"Talbot",46.8065180745458,77.4106652006597
"Washington",59.8874842521395,76.821703890133
"Wicomico",52.5838491435152,67.570227232063
"Worcester",59.5196951570739,76.0934540096822
"Saint Mary's",56.6844919786096,NA
