"FIPS","State abbrev","State","Grades","Enrollment type","School Year 2019-20","School Year 2020-2021","School Year 2021-22","Total change","Percent change","Notes"
1,"AL","Alabama","Kindergarten to 12th grade","Homeschool enrollment","NA","NA","NA","NA","NA",NA
1,"AL","Alabama","Kindergarten to 12th grade","Private enrollment","NA","NA","NA","NA","NA",NA
1,"AL","Alabama","Kindergarten to 12th grade","Public school enrollment","724178","716084","725894","1716","0.23695831687789401",NA
1,"AL","Alabama","Kindergarten to 12th grade","Total nonpublic enrollment (private + homeschool)","NA","NA","NA","NA","NA",NA
2,"AK","Alaska","Kindergarten to 12th grade","Homeschool enrollment","14877","28307","21977","7100","47.724675673858897",NA
2,"AK","Alaska","Kindergarten to 12th grade","Private enrollment","NA","NA","NA","NA","NA",NA
2,"AK","Alaska","Kindergarten to 12th grade","Public school enrollment","128033","126363","127017","-1016","-0.793545414072934",NA
2,"AK","Alaska","Kindergarten to 12th grade","Total nonpublic enrollment (private + homeschool)","14877","28307","21977","7100","47.724675673858897",NA
4,"AZ","Arizona","Kindergarten to 12th grade","Homeschool enrollment","NA","NA","NA","NA","NA",NA
4,"AZ","Arizona","Kindergarten to 12th grade","Private enrollment","NA","NA","NA","NA","NA",NA
4,"AZ","Arizona","Kindergarten to 12th grade","Public school enrollment","1130693","1098017","1116643","-14050","-1.2426007766918099",NA
4,"AZ","Arizona","Kindergarten to 12th grade","Total nonpublic enrollment (private + homeschool)","NA","NA","NA","NA","NA",NA
5,"AR","Arkansas","Preschool to 12th grade","Homeschool enrollment","22249","30267","29118","6869","30.873297676300002",NA
5,"AR","Arkansas","Preschool to 12th grade","Private enrollment","19877","20202","15484","-4393","-22.100920662071701",NA
5,"AR","Arkansas","Kindergarten to 12th grade","Public school enrollment","479432","473004","473861","-5571","-1.16200003337282",NA
5,"AR","Arkansas","Preschool to 12th grade","Total nonpublic enrollment (private + homeschool)","42126","50469","44602","2476","5.8776052793998899",NA
6,"CA","California","Kindergarten to 12th grade","Homeschool enrollment","38532","59275","52628","14096","36.582580712135297",NA
